"","duration","gross_adjusted","budget_adjusted","gross","budget","cast_facebook_likes","reviews","Metascore","imdbRating","imdbVotes","OscarWon","OtherWin","OscarNom","OtherNom","oldness"
"2443",74,139017950,73269565,104354205,5.5e+07,5713,485,43,6.3,174337,0,3,0,6,16
"2444",133,362523171,60882401,350123553,58800000,16277,1406,72,7.3,371623,1,23,0,42,5
"2445",113,60559973,53381186,56724080,5e+07,8398,472,49,6.7,183437,0,1,0,4,7
"2446",102,21419415,9964228,15047419,7e+06,25462,1349,64,7.6,400208,0,5,0,8,19
"2447",108,200825141,41522304,145096820,3e+07,7872,573,43,6.4,214344,0,8,0,6,18
"2448",95,149685360,16184394,101736215,1.1e+07,8134,934,58,7,336432,0,9,0,14,20
"2449",94,18359759,48442688,13264986,3.5e+07,1668,206,25,6,12692,0,0,0,7,18
"2450",138,157955661,42088454,150117807,4e+07,83012,1289,90,7.3,393739,0,70,10,208,6
"2451",101,10093893,11278528,6712241,7500000,3858,1582,62,8.5,879584,0,4,1,13,21
"2452",176,153868221,118244091,130127620,1e+08,20354,758,76,7.8,347762,0,12,2,35,12
"2453",107,8701669,23101587,7156725,1.9e+07,5992,370,45,5.5,23271,0,0,0,1,13
"2454",100,1249593,346019,902835,250000,454,49,50,6.7,1531,0,0,0,0,18
"2455",122,191355513,22069628,130058047,1.5e+07,19078,2891,86,8.4,923044,5,104,0,99,20
"2456",180,121734283,42465448,51600000,1.8e+07,3076,683,93,8.3,306326,8,33,0,14,35
"2457",88,250920048,85691512,219613391,7.5e+07,5227,205,41,4.5,35573,0,3,0,0,10
"2458",92,88820995,93076868,85884815,9e+07,38450,123,33,5.1,12577,0,1,0,4,4
"2459",87,145045702,81728824,133103929,7.5e+07,4073,147,24,4.4,25648,0,2,0,0,8
"2460",92,256975550,70946454,217326336,6e+07,2847,277,39,5.2,63706,0,3,0,2,12
"2461",90,28190528,22482298,25077977,2e+07,2486,168,36,5.3,11723,0,0,0,1,9
"2462",90,114004241,54499947,87856565,4.2e+07,24534,376,44,5.9,112860,0,1,0,9,15
"2463",104,102502925,83044608,74058698,6e+07,17109,450,42,6.3,63941,0,1,0,0,18
"2464",78,12181,1215873,10018,1e+06,509,102,65,6.1,3524,0,0,0,0,13
"2465",105,21709142,38264935,20991497,3.7e+07,44037,310,40,5.4,48188,0,2,0,7,4
"2466",152,46294303,85407666,32522352,6e+07,36897,971,90,7.9,223650,1,52,0,103,19
"2467",120,67408274,112343390,66002193,1.1e+08,12452,325,33,5.7,81575,0,3,0,10,3
"2468",108,730980,3330435,548712,2500000,12385,214,71,6.9,9543,0,4,0,11,16
"2469",220,22102258,81137282,15527125,5.7e+07,15006,268,55,5.8,11933,0,2,0,13,19
"2470",95,34721379,19075486,25482931,1.4e+07,1421,73,34,5.8,10453,0,0,0,0,17
"2471",99,38686873,17138302,33860010,1.5e+07,16461,271,17,4.8,35423,0,2,0,3,10
"2472",102,49422561,47297636,41797066,4e+07,4324,1209,29,4.7,101754,0,0,0,4,12
"2473",86,28792819,51414907,25200412,4.5e+07,3423,137,42,5.4,18221,0,0,0,2,10
"2474",154,190549489,41375182,85200000,18500000,4228,1326,86,8.4,553577,2,18,0,22,33
"2475",116,72922986,114542056,47748610,7.5e+07,3090,879,63,6.2,195521,0,6,0,18,22
"2476",145,96918666,87355666,55473600,5e+07,1543,986,59,6.4,237094,0,5,1,22,27
"2477",113,78483730,173621603,76846624,1.7e+08,80806,349,34,6.2,67021,0,2,0,18,3
"2478",165,80531077,148096217,58183966,1.07e+08,14196,560,65,6.8,84305,0,10,2,25,18
"2479",81,69321533,28991619,66950483,2.8e+07,47677,204,54,6.2,34139,0,1,0,8,5
"2480",101,27612929,37366830,25863915,3.5e+07,2471,362,30,5.1,29905,0,0,0,4,7
